ETH_DOLLAR,ETH_BTC,Price_Diff,Volume,Num_of_Trades,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusd,transactionfees,median_transaction_fee,confirmationtime,transactionvalue,marketcap,tweets,google_trends,fee_to_reward,fear_gear_index,Open,High,Low,Close,SMA_7,SMA_30,SMA_100,EMA_200,EMA_8,EMA_50,RSI,macd,macd_signal,macd_hist,ENGULFING,BB_upper,BB_middle,DD_lower
270.8,0.042533,39.38999999999999,403936.78303,177686,594872.0,22832.0,192830.0,3593973103111186.0,289738343132640.0,0.0206,489046131.0,0.421,0.0582,0.243,822.1030000000002,28548378424.0,9174.0,4.996,2.951,21,281.09,298.89,259.5,270.8,288.67571428571426,288.67571428571426,288.67571428571426,,288.90901029582074,,26.149421288068066,,,,0,313.3781238920447,286.40700000000004,259.4358761079554
275.99,0.04229,12.75,277304.60909,127845,599557.0,24307.0,180485.0,3451970551527000.0,279100785040120.0,0.0205,401057717.0,0.274,0.0459,0.246,668.923,27764253547.0,9521.0,4.94,2.129,18,270.68,280.3,267.55,275.99,287.07857142857137,287.07857142857137,287.07857142857137,,286.0381191189717,,28.273746051299238,,,,0,313.29634293813575,285.6250000000001,257.9536570618645
281.19,0.04205,12.879999999999995,271850.21373,124399,596227.0,22859.0,206680.0,3431231393128216.0,282976813869910.0,0.0213,396314236.0,0.489,0.0582,0.242,664.704,28061256600.0,10679.0,4.395,3.318,19,276.06,283.1,270.22,281.19,281.89,281.89,281.89,,284.96075931475576,,30.43293842516014,,,,0,313.3336267518599,285.90300000000013,258.47237324814034
277.55,0.041225,6.71999999999997,253375.49477,107965,577239.0,24937.0,194621.0,3500504985177645.0,283538993309180.0,0.0205,301915205.0,0.162,0.032,0.243,523.033,28400085929.0,10429.0,4.247,1.515,22,281.05,282.71,275.99,277.55,279.52428571428567,279.52428571428567,279.52428571428567,,283.3139239114767,,29.75764203721806,,,,0,313.30726250731067,285.54600000000016,257.78473749268966
274.29,0.040912,9.220000000000027,232525.9497,113465,574072.0,24193.0,206678.0,3569733749332629.0,288803939728600.0,0.0203,268875097.0,0.453,0.0351,0.242,468.365,27808510502.0,9649.0,3.898,2.22,19,277.54,277.91,268.69,274.29,275.9342857142857,275.9342857142857,275.9342857142857,,281.3086074867041,,29.134117840198666,,,,0,312.7830062927216,284.25800000000015,255.73299370727872
287.71,0.04167,16.560000000000002,281020.64727,134261,645890.0,24866.0,221382.0,3495414147380466.0,285295661808440.0,0.0203,446980705.0,0.161,0.048,0.242,692.038,28126487456.0,11115.0,4.351,1.673,18,274.17,288.15,271.59,287.71,278.39142857142855,278.39142857142855,278.39142857142855,,282.7311391563254,,35.15742040639158,-44.499738343424724,-56.260149825030204,11.76041148160548,100,299.7345084455275,281.27800000000013,262.82149155447274
295.44,0.041725,15.339999999999973,318323.28971,171500,613844.0,25984.0,192952.0,3491155016920248.0,282894027888200.0,0.0212,419062852.0,0.179,0.0503,0.244,682.686,29295757268.0,12131.0,4.864,1.734,19,287.71,298.0,282.66,295.44,280.4242857142857,280.4242857142857,280.4242857142857,,285.5553304549198,,38.40496305541632,-40.53186890049585,-53.114493640123335,12.582624739627484,0,300.25065912642106,281.4110000000002,262.5713408735793
288.4,0.041014,13.449999999999989,324275.47324,141609,546841.0,24552.0,168646.0,3456093007050616.0,277999389301250.0,0.0219,457737147.0,0.284,0.0668,0.244,837.057,29703040237.0,13346.0,4.54,2.04,19,295.44,297.0,283.55,288.4,282.9385714285714,282.9385714285714,282.9385714285714,,286.18747924271537,,36.60677977764769,-37.52283308167131,-49.99616152843293,12.47332844676162,0,295.79718762798944,280.30900000000014,264.82081237201083
283.89,0.040662,19.120000000000005,336993.14413000003,149454,592847.0,23668.0,173634.0,3432294223013000.0,279567420332920.0,0.0211,404264863.0,0.21,0.056,0.244,681.904,28665047497.0,14935.0,4.8439999999999985,1.949,22,288.35,291.0,271.88,283.89,284.0671428571428,284.0671428571428,284.0671428571428,,285.6769282998897,,35.46129388023294,-35.09748783237376,-47.01642678922109,11.918938956847335,0,295.76947301288715,281.64700000000016,267.5245269871132
281.41,0.040139,12.410000000000027,302663.37038000004,124162,577258.0,22118.0,181733.0,3465883560589000.0,280339005850150.0,0.0209,423236992.0,0.218,0.0612,0.242,733.185,28571955406.0,15383.0,4.18,2.01,17,283.9,289.0,276.59,281.41,284.0985714285714,284.0985714285714,284.0985714285714,,284.72872201102535,,34.816132198618035,-32.99515194950675,-44.212171821278226,11.217019871771477,0,295.78750721467856,281.66700000000014,267.54649278532173
